time_s,participant_1,participant_2,participant_3
1112.101,88.82,-19.72,320.61
1112.109,70.16,-19.79,296.02
1112.116,42.11,-22.52,251.1
1112.124,15.92,-21.76,180.76
1112.132,8.36,-17.23,95.03
1112.14,10.51,-14.46,5.15
1112.147,25.49,-13.28,-76.76
1112.155,38.64,-11.17,-138.6
1112.163,14.17,-9.57,-179.17
1112.17,-15.48,-6.93,-207.91
1112.178,83.92,-2.08,-229.68
1112.186,419.17,-3.77,-240.47
1112.193,907.41,-13.11,-239.4
1112.201,1209.49,-13.69,-233.61
1112.209,940.91,-3.46,-226.48
1112.216,208.79,-0.6,-210.68
1112.224,-325.76,-4.68,-186.69
1112.232,-318.48,14.82,-168.01
1112.24,-160.47,101.62,-163.18
1112.247,-175.18,256.24,-159.85
1112.255,-194.49,693.7,-153.73
1112.263,-132.11,1060.15,-138.47
1112.27,-119.71,837.61,-129.3
1112.278,-118.72,145.75,-134.54
1112.286,-53.42,-252.41,-136.47
1112.293,-28.71,-128.46,-125.94
1112.301,-63.52,-4.63,-117.46
1112.309,-40.62,-95.67,-112.55
1112.316,5.88,-129.27,-99.55
1112.324,-29.84,-63.25,-86.12
1112.332,-82.52,-60.28,-86.12
1112.34,-65.68,-84.66,-92.37
1112.347,-42.59,-60.86,-92.06
1112.355,-62.65,-44.17,-84.11
1112.363,-61.29,-54.87,-73.28
1112.37,-7.03,-50.25,-67.71
1112.378,30.57,-34.6,-72.88
1112.386,-0.54,-31.16,-81.01
1112.393,-41.9,-30.34,-82.12
1112.401,-9.11,-18.92,-78.58
1112.409,59.33,0.89,-78.96
1112.416,62.23,20.41,-86.98
1112.424,28.71,34.87,-95.52
1112.432,57.89,51.06,-92.38
1112.44,110.4,74.51,-77.83
1112.447,86.03,98.18,-59.88
1112.455,26.99,118.09,-34.66
1112.463,29.66,137.22,-4.88
1112.47,57.04,152.61,1.94
1112.478,22.75,160.57,-23.9
1112.486,-41.25,162.88,-48.87
1112.493,-61.95,161.19,-48.4
1112.501,-68.31,157.89,-39.38
1112.509,-114.97,151.85,-39.09
1112.516,-174.54,134.79,-38.02
1112.524,-202.44,107.18,-33.57
1112.532,-189.71,77.79,-44.3
1112.54,-141.06,46.02,-51.29
1112.547,-97.78,11.75,11.54
1112.555,-105.96,-16.58,179.15
1112.563,-134.98,-40.32,512.83
1112.57,-141.45,-65.61,1090.8
1112.578,-142.24,-85.65,1543.89
1112.586,-139.69,-94.89,1117.65
1112.593,-115.61,-99.29,-57.12
1112.601,-100.77,-102.65,-731.19
1112.609,-107.75,-104.12,-412.8
1112.616,-91.29,-103.01,-18.6
1112.624,-55.23,-96.45,-99.02
1112.632,-49.66,-84.73,-196.83
1112.64,-54.61,-75.97,-93.14
1112.647,-71.57,-76.25,-52.86
1112.655,-55.56,-80.52,-93.37
