i,j
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,3
9,4
10,4
11,4
12,4
13,5
13,6
14,7
14,8
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,10
22,11
23,12
23,13
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
25,23
26,23
27,23
28,23
29,24
30,25
30,26
30,27
31,28
32,29
32,30
33,31
34,32
35,32
36,33
36,34
37,35
37,36
37,37
38,38
39,39
40,40
41,41
42,41
43,42
44,43
45,44
46,45
47,45
48,45
49,46
50,46
51,46
52,47
53,48
54,49
54,50
54,51
54,52
54,53
55,54
56,55
56,56
57,57
58,58
59,59
59,60
59,61
60,62
60,63
60,64
61,65
62,65
63,66
64,66
65,67
66,68
67,69
67,70
68,71
69,71
70,71
71,71
72,71
73,71
74,71
75,72
76,73
77,74
77,75
77,76
77,77
