participant,time_s,hr_bpm
participant_3,1324.62,75.5
participant_3,1325.408,76.2
participant_3,1326.332,64.9
participant_3,1327.248,65.5
participant_3,1328.119,68.9
participant_3,1328.93,74.0
participant_3,1329.745,73.7
participant_3,1330.393,92.5
participant_3,1331.069,88.7
participant_3,1331.712,93.4
participant_3,1332.322,98.4
participant_3,1333.049,82.5
participant_3,1333.647,100.4
participant_3,1334.317,89.5
participant_3,1334.911,101.0
participant_3,1335.548,94.2
participant_3,1336.165,97.3
participant_3,1336.862,86.1
participant_3,1337.49,95.5
participant_3,1338.201,84.4
participant_3,1338.833,94.9
participant_3,1339.521,87.1
participant_3,1340.224,85.4
participant_3,1340.837,97.9
participant_3,1341.442,99.2
participant_3,1342.106,90.4
participant_3,1342.7,101.0
participant_3,1343.408,84.7
participant_3,1344.004,100.6
participant_3,1344.658,91.9
participant_3,1345.259,99.8
participant_3,1345.989,82.1
participant_3,1346.681,86.8
participant_3,1347.445,78.5
participant_3,1348.134,87.1
participant_3,1348.833,85.8
participant_3,1349.511,88.6
participant_3,1350.249,81.3
participant_3,1350.928,88.5
participant_3,1351.567,93.8
participant_3,1352.224,91.4
participant_3,1352.863,93.8
participant_3,1353.542,88.4
participant_3,1354.166,96.2
participant_3,1354.748,103.0
participant_3,1355.39,93.5
participant_3,1356.076,87.4
participant_3,1356.885,74.2
participant_3,1357.687,74.8
participant_3,1358.469,76.8
participant_3,1359.173,85.1
participant_3,1359.952,77.1
participant_3,1360.63,88.5
participant_3,1361.326,86.1
participant_3,1361.993,90.0
participant_3,1362.641,92.6
participant_3,1363.283,93.5
participant_3,1363.969,87.4
participant_3,1364.544,104.4
participant_3,1365.24,86.1
participant_3,1365.823,103.0
participant_3,1366.534,84.4
participant_3,1367.188,91.8
participant_3,1367.832,93.1
participant_3,1368.399,105.9
participant_3,1369.114,83.9
participant_3,1369.677,106.5
participant_3,1370.416,81.2
participant_3,1371.109,86.7
participant_3,1371.712,99.5
participant_3,1372.336,96.2
participant_3,1372.928,101.2
participant_3,1373.582,91.8
participant_3,1374.224,93.5
participant_3,1374.822,100.2
participant_3,1375.464,93.6
participant_3,1376.074,98.3
participant_3,1376.75,88.7
participant_3,1377.393,93.4
participant_3,1378.149,79.4
participant_3,1378.776,95.6
participant_3,1379.456,88.3
participant_3,1380.21,79.5
participant_3,1380.885,88.9
participant_3,1381.572,87.3
participant_3,1382.245,89.2
participant_3,1382.931,87.5
participant_3,1383.633,85.4
participant_3,1384.301,89.9
participant_3,1384.98,88.4
participant_3,1385.523,110.5
participant_3,1386.166,93.3
participant_3,1386.838,89.3
participant_3,1387.407,105.5
participant_3,1388.072,90.2
participant_3,1388.703,95.1
participant_3,1389.311,98.6
participant_3,1389.952,93.6
participant_3,1390.675,83.0
participant_3,1391.283,98.7
participant_3,1392.003,83.4
participant_3,1392.696,86.5
participant_3,1393.42,82.9
participant_3,1394.105,87.6
participant_3,1394.786,88.0
participant_3,1395.431,93.1
participant_3,1396.101,89.6
participant_3,1396.685,102.7
participant_3,1397.432,80.4
participant_3,1397.99,107.4
participant_3,1398.669,88.3
participant_3,1399.264,100.9
participant_3,1399.851,102.2
participant_3,1400.528,88.6
participant_3,1401.202,89.1
participant_3,1401.773,105.1
participant_3,1402.43,91.3
participant_3,1403.072,93.5
participant_3,1403.766,86.5
participant_3,1404.363,100.5
participant_3,1405.06,86.1
participant_3,1405.671,98.2
participant_3,1406.359,87.3
participant_3,1407.036,88.6
participant_3,1407.691,91.7
participant_3,1408.3,98.5
participant_3,1408.965,90.3
participant_3,1409.561,100.7
participant_3,1410.219,91.1
